TreeID,qSpecies,qAddress,qSiteInfo,DBH,PlotSize,Latitude,Longitude
119817,Ulmus parvifolia :: Chinese Elm,302x Octavia St Frontage East,Median : Cutout,,,47.27021881,-138.279316
119781,Ulmus parvifolia :: Chinese Elm,202x Octavia St Frontage East,Median : Cutout,,,47.27017216,-138.2806815
119708,Ulmus parvifolia :: Chinese Elm,102x Octavia St Frontage East,Median : Cutout,,,47.2701255,-138.282047
119675,Ulmus parvifolia :: Chinese Elm,2x Octavia St Frontage East,Median : Cutout,,,47.27008333,-138.283252
119828,Ulmus parvifolia :: Chinese Elm,301x Octavia St,Median : Cutout,,,47.27004703,-138.2793038
119793,Ulmus parvifolia :: Chinese Elm,201x Octavia St,Median : Cutout,,,47.26999691,-138.2807169
119683,Populus nigra 'Italica' :: Lombardy Poplar,4x Octavia St,Median : Cutout,,,47.26998737,-138.2836697
119766,Populus nigra 'Italica' :: Lombardy Poplar,204x Octavia St,Median : Cutout,,,47.26998737,-138.2836697
119721,Populus nigra 'Italica' :: Lombardy Poplar,104x Octavia St,Median : Cutout,,,47.26998737,-138.2836697
119736,Ulmus parvifolia :: Chinese Elm,101x Octavia St,Median : Cutout,,,47.26995107,-138.2820341
119699,Phoenix canariensis :: Canary Island Date Palm,6x Octavia St Frontage West,Median : Cutout,,,47.26989081,-138.2838607
23587,Schinus terebinthifolius :: Brazilian Pepper,3251X Van Ness Ave,Sidewalk: Curb side : Cutout,24,3X3,37.80668,-122.4258551
20260,Acacia longifolia :: Golden Wattle,2210 Stockton St,Sidewalk: Curb side : Cutout,2,4x3,37.80652,-122.4102532
20270,Acacia longifolia :: Golden Wattle,2290 Stockton St,Sidewalk: Curb side : Cutout,2,4x3,37.80651643,-122.4102139
11179,Ceratonia siliqua :: Carob,2750X Hyde St,Sidewalk: Curb side : Cutout,36,3x3,37.80641843,-122.4204347
29773,Lophostemon confertus :: Brisbane Box,1323 Columbus Ave,Sidewalk: Curb side : Cutout,8,3x3,37.80637005,-122.4191151
11182,Metrosideros excelsa :: New Zealand Xmas Tree,2765 Hyde St,Sidewalk: Curb side : Cutout,18,3X3,37.80631286,-122.4205774
11178,Olea europaea :: Olive Tree,2741 Hyde St,Sidewalk: Curb side : Cutout,40,3X3,37.8062915,-122.4205607
21792,Ceratonia siliqua :: Carob,2598 Taylor St,Sidewalk: Curb side : Cutout,12,4X4,37.80605184,-122.4150744
11170,Olea europaea :: Olive Tree,2706 Hyde St,Sidewalk: Curb side : Cutout,36,3X3,37.80592139,-122.4203247
11174,Olea europaea :: Olive Tree,2721 Hyde St,Sidewalk: Curb side : Cutout,36,3X3,37.80591719,-122.4204968
88132,Corymbia ficifolia :: Red Flowering Gum,1288 Columbus Ave,Sidewalk: Curb side : Cutout,20,,37.80590655,-122.4182009
11169,Olea europaea :: Olive Tree,2700 Hyde St,Sidewalk: Curb side : Cutout,36,3X3,37.80585563,-122.4203144
21785,Ceratonia siliqua :: Carob,2585 Taylor St,Sidewalk: Curb side : Cutout,12,4X4,37.80583174,-122.4160285
4753,Ficus nitida :: Laurel Fig,1250 Columbus Ave,Sidewalk: Curb side : Cutout,80,4X4,37.80576503,-122.4175579
21781,Ceratonia siliqua :: Carob,2550X Taylor St,Sidewalk: Curb side : Cutout,3,4x4,37.80568086,-122.4149975
132106,Phoenix canariensis :: Canary Island Date Palm,1500x The Embarcadero,Median : Yard,20,Width 10ft,37.80554358,-122.4038635
11168,Olea europaea :: Olive Tree,2666 Hyde St,Sidewalk: Curb side : Cutout,11,3X3,37.80549635,-122.4202354
21776,Ceratonia siliqua :: Carob,2500X Taylor St,Sidewalk: Curb side : Cutout,12,3X3,37.80545598,-122.4151618
24310,Platanus x hispanica :: Sycamore: London Plane,2639 Hyde St,Sidewalk: Curb side : Cutout,40,,37.80536463,-122.4203845
11162,Olea europaea :: Olive Tree,2640 Hyde St,Sidewalk: Curb side : Cutout,12,3X3,37.80531729,-122.4201986
11161,Olea europaea :: Olive Tree,2638 Hyde St,Sidewalk: Curb side : Cutout,30,3X3,37.80530365,-122.4201958
23585,Acacia melanoxylon :: Blackwood Acacia,3205X Van Ness Ave,Sidewalk: Curb side : Cutout,24,3X3,37.80529056,-122.4254293
99261,Metrosideros excelsa :: New Zealand Xmas Tree,3099X Polk St,Sidewalk: Property side : Cutout,12,3x6,37.80525032,-122.4237177
88451,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,3200X Van Ness Ave,Median : Cutout,3,5x12,37.8052099,-122.4252945
11159,Olea europaea :: Olive Tree,2627 Hyde St,Sidewalk: Curb side : Cutout,24,3X3,37.80519015,-122.4203282
21768,Magnolia grandiflora :: Southern Magnolia,2495X Taylor St,Sidewalk: Curb side : Cutout,6,3X3,37.80516752,-122.4152787
23584,Lophostemon confertus :: Brisbane Box,3201X Van Ness Ave,Sidewalk: Curb side : Cutout,18,3X3,37.80516484,-122.4254038
11155,Olea europaea :: Olive Tree,2615 Hyde St,Sidewalk: Curb side : Cutout,30,3X3,37.80506704,-122.4203178
98563,Prunus cerasifera :: Cherry Plum,301X Francisco St,Sidewalk: Curb side : Cutout,,3x3,37.80504248,-122.4101247
4744,Lophostemon confertus :: Brisbane Box,1196 Columbus Ave,Sidewalk: Curb side : Cutout,50,3X3,37.80501027,-122.4166033
4730,Liquidambar styraciflua :: American Sweet Gum,1175X Columbus Ave,Median : Cutout,100,3x3,37.80492699,-122.4168718
26538,Acacia melanoxylon :: Blackwood Acacia,500 Francisco St,Sidewalk: Curb side : Cutout,18,4X4,37.80473048,-122.4135362
26540,Tristania conferta ::,530 Francisco St,Sidewalk: Curb side : Cutout,12,4X4,37.80469693,-122.4138669
4737,Pittosporum undulatum :: Victorian Box,1120 Columbus Ave,Sidewalk: Curb side : Cutout,8,3X3,37.8046954,-122.4162383
27383,Olea europaea :: Olive Tree,2560 Hyde St,Sidewalk: Curb side : Cutout,13,3X3,37.8046399,-122.4200606
142715,Pittosporum undulatum :: Victorian Box,1120 Columbus Ave,Sidewalk: Curb side : Cutout,7,Width 0ft,37.80461172,-122.4162467
26546,Geijera parviflora :: Australian Willow,570 Francisco St,Sidewalk: Curb side : Cutout,6,4X4,37.8046059,-122.4145553
100980,Prunus serrulata 'Royal Burgundy' :: Royal Burgundy Flowering Cherry Tree,2190 Powell St,Sidewalk: Curb side : Cutout,3,3x3,37.80453191,-122.4108826
142721,Liquidambar styraciflua :: American Sweet Gum,1100x COLUMBUS AVE,Median : Cutout,17,Width 0ft,37.80453092,-122.4162814
21758,Magnolia grandiflora :: Southern Magnolia,2400X Taylor St,Sidewalk: Curb side : Cutout,12,3X3,37.8045143,-122.4149714
132103,Phoenix canariensis :: Canary Island Date Palm,1400x The Embarcadero,Median : Yard,18,Width 10ft,37.80449281,-122.4023747
29768,Geijera parviflora :: Australian Willow,640 Francisco St,Sidewalk: Curb side : Cutout,6,6x6,37.80447477,-122.4155619
7695,Magnolia grandiflora :: Southern Magnolia,593 Francisco St,Sidewalk: Curb side : Cutout,15,3X3,37.8044309,-122.414897
17002,Tristaniopsis laurina :: Swamp Myrtle,2028 Jefferson St,Sidewalk: Curb side : Cutout,18,3X3,37.80441832,-122.4460352
97722,Ficus microcarpa :: Chinese Banyan,1000X Bay St,Sidewalk: Property side : Cutout,14,7x57,37.804403,-122.4235265
